Voltage[V]	Current[mA]
52.938000	-2.706721E-10
52.944000	-3.036573E-10
52.950000	-3.108279E-10
52.956000	-2.520284E-10
52.962000	-2.946426E-10
52.968000	-3.270130E-10
52.974000	-3.175889E-10
52.980000	-2.432187E-10
52.986000	-3.126718E-10
52.992000	-2.964865E-10
52.998000	-2.923890E-10
53.004000	-2.766135E-10
53.010000	-3.331594E-10
53.016000	-3.917540E-10
53.022000	-2.688283E-10
53.028000	-3.011988E-10
53.034000	-2.632965E-10
53.040000	-3.206619E-10
53.046000	-2.667795E-10
53.052000	-3.157448E-10
53.058000	-3.067304E-10
53.064000	-2.600185E-10
53.070000	-2.714916E-10
53.076000	-4.366220E-10
53.082000	-3.405348E-10
53.088000	-1.711022E-10
53.094000	-2.835794E-10
53.100000	-2.889062E-10
53.106000	-3.298814E-10
53.112000	-2.512089E-10
53.118000	-3.575398E-10
53.124000	-2.678039E-10
53.130000	-2.399407E-10
53.136000	-2.788672E-10
53.142000	-3.628666E-10
53.148000	-3.300863E-10
53.154000	-3.309057E-10
53.160000	-3.380765E-10
53.166000	-2.788672E-10
53.172000	-2.596088E-10
53.178000	-2.401455E-10
53.184000	-3.302912E-10
53.190000	-2.977158E-10
53.196000	-2.932085E-10
53.202000	-2.577649E-10
53.208000	-3.251693E-10
53.214000	-1.809363E-10
53.220000	-2.626819E-10
53.226000	-4.091687E-10
53.232000	-3.505740E-10
53.238000	-2.591990E-10
53.244000	-3.720859E-10
53.250000	-1.999898E-10
53.256000	-2.444480E-10
53.262000	-2.505943E-10
53.268000	-4.431782E-10
53.274000	-3.231204E-10
53.280000	-2.837842E-10
53.286000	-3.089840E-10
53.292000	-3.376667E-10
53.298000	-1.674145E-10
53.304000	-2.876769E-10
53.310000	-3.192278E-10
53.316000	-2.897257E-10
53.322000	-3.048865E-10
53.328000	-3.487301E-10
53.334000	-4.187978E-10
53.340000	-3.571299E-10
53.346000	-3.802810E-10
53.352000	-3.139011E-10
53.358000	-2.977158E-10
53.364000	-2.919793E-10
53.370000	-3.450423E-10
53.376000	-1.276684E-10
53.382000	-2.803013E-10
53.388000	-3.421739E-10
53.394000	-3.366423E-10
53.400000	-3.089840E-10
53.406000	-3.055012E-10
53.412000	-2.981255E-10
53.418000	-2.448577E-10
53.424000	-2.993548E-10
53.430000	-3.085742E-10
53.436000	-3.948272E-10
53.442000	-2.206823E-10
53.448000	-3.317253E-10
53.454000	-3.102132E-10
53.460000	-4.530122E-10
53.466000	-2.723112E-10
53.472000	-2.680088E-10
53.478000	-2.800965E-10
53.484000	-3.114426E-10
53.490000	-3.139011E-10
53.496000	-2.700575E-10
53.502000	-2.217067E-10
53.508000	-3.069352E-10
53.514000	-3.700372E-10
53.520000	-3.251693E-10
53.526000	-2.858329E-10
53.532000	-3.403301E-10
53.538000	-3.208668E-10
53.544000	-2.884964E-10
53.550000	-3.044767E-10
53.556000	-2.989451E-10
53.562000	-1.506146E-10
53.568000	-2.876769E-10
53.574000	-2.116677E-10
53.580000	-2.487504E-10
53.586000	-2.604283E-10
53.592000	-2.608381E-10
53.598000	-3.536472E-10
53.604000	-3.159498E-10
53.610000	-2.930037E-10
53.616000	-3.360276E-10
53.622000	-2.178139E-10
53.628000	-3.048864E-10
53.634000	-2.987402E-10
53.640000	-2.778428E-10
53.646000	-2.811208E-10
53.652000	-2.604283E-10
53.658000	-3.618421E-10
53.664000	-2.546918E-10
53.670000	-2.962816E-10
53.676000	-2.739501E-10
53.682000	-2.958720E-10
53.688000	-3.307009E-10
53.694000	-2.882915E-10
53.700000	-3.075498E-10
